date,country,amount,currency,category
2023-01-15,USA,150000,USD,Sales
2023-01-20,JPN,2500000,JPY,Sales
2023-02-05,DEU,-12000,EUR,Marketing
2023-02-10,USA,-25000,USD,Operations
2023-03-01,GBR,75000,GBP,Sales
2023-03-12,CAN,-5000,CAD,Software
2023-04-18,JPN,-800000,JPY,Salaries
2023-04-25,AUS,30000,AUD,Sales
2023-05-07,USA,-15000,USD,Rent
2023-05-22,DEU,95000,EUR,Sales
2023-06-10,IND,-500000,INR,R&D
2023-06-15,USA,220000,USD,Sales
2023-07-02,GBR,-18000,GBP,Consulting
2023-07-21,JPN,3200000,JPY,Sales
2023-08-05,USA,-35000,USD,Salaries
2023-08-19,CAN,45000,CAD,Sales
2023-09-09,DEU,-20000,EUR,Travel
2023-09-28,AUS,-10000,AUD,Marketing
2023-10-01,USA,5000,USD,Sales
2023-10-05,JPN,750000,JPY,Sales
2023-10-15,DEU,-4500,EUR,Marketing
2023-10-20,USA,-12000,USD,Operations
2023-11-01,GBR,8000,GBP,Sales
2023-11-10,JPN,-300000,JPY,Operations
2023-11-25,IND,1200000,INR,Sales
2023-12-05,USA,180000,USD,Sales
2023-12-15,DEU,-30000,EUR,Salaries
2023-12-20,CAN,-8000,CAD,Rent
2023-12-28,USA,1200,USD,Interest
