payable_id,supplier_id,country,branch_office,invoice_date,due_date,amount,currency,status
PAY-2309-01,SUP-A,JPN,Tokyo HQ,2023-09-25,2023-10-24,2000000,JPY,paid
PAY-2309-02,SUP-C,DEU,Berlin Office,2023-09-10,2023-10-09,15000,EUR,paid
PAY-2310-01,SUP-K,USA,San Francisco Office,2023-10-08,2023-11-07,30000,USD,paid
PAY-2310-02,SUP-B,JPN,Osaka Office,2023-10-28,2023-11-27,12000000,JPY,paid
PAY-2311-01,SUP-D,GBR,London Office,2023-11-01,2023-12-01,10000,GBP,paid
PAY-2311-02,SUP-I,CHN,Shanghai Office,2023-11-20,2023-12-20,150000,CNY,paid
PAY-2312-01,SUP-E,JPN,Tokyo HQ,2023-12-05,2024-01-04,750000,JPY,paid
PAY-2312-02,SUP-L,DEU,Berlin Office,2023-12-12,2024-01-11,20000,EUR,paid
PAY-2401-01,SUP-A,USA,New York Office,2024-01-15,2024-02-14,18000,USD,paid
PAY-2401-02,SUP-G,JPN,Fukuoka Office,2024-01-10,2024-02-09,4500000,JPY,paid
PAY-2402-01,SUP-F,JPN,Nagoya Office,2024-02-20,2024-03-20,900000,JPY,paid
PAY-2402-02,SUP-H,DEU,Berlin Office,2024-02-15,2024-03-15,22000,CHF,paid
PAY-2403-01,SUP-J,CHN,Shanghai Office,2024-03-22,2024-04-21,1200000,CNY,paid
PAY-2403-02,SUP-B,JPN,Osaka Office,2024-03-30,2024-04-29,18000000,JPY,paid
PAY-2404-01,SUP-A,JPN,Tokyo HQ,2024-04-25,2024-05-24,3000000,JPY,paid
PAY-2404-02,SUP-K,USA,San Francisco Office,2024-04-08,2024-05-07,40000,USD,paid
PAY-2405-01,SUP-C,DEU,Berlin Office,2024-05-10,2024-06-09,16000,EUR,paid
PAY-2405-02,SUP-E,JPN,Tokyo HQ,2024-05-05,2024-06-04,950000,JPY,paid
PAY-2406-01,SUP-A,USA,New York Office,2024-06-15,2024-07-15,15000,USD,paid
PAY-2406-02,SUP-F,JPN,Nagoya Office,2024-06-20,2024-07-20,1000000,JPY,paid
PAY-2407-01,SUP-C,DEU,Berlin Office,2024-07-10,2024-08-09,18000,EUR,unpaid
PAY-2407-02,SUP-J,CHN,Shanghai Office,2024-07-22,2024-08-21,1500000,CNY,unpaid
PAY-2407-03,SUP-A,JPN,Tokyo HQ,2024-07-25,2024-08-24,2200000,JPY,unpaid
PAY-2407-04,SUP-B,JPN,Osaka Office,2024-07-28,2024-08-27,15000000,JPY,unpaid
PAY-2408-01,SUP-D,GBR,London Office,2024-08-01,2024-08-31,12000,GBP,unpaid
PAY-2408-02,SUP-E,JPN,Tokyo HQ,2024-08-05,2024-09-04,800000,JPY,unpaid
PAY-2408-03,SUP-K,USA,San Francisco Office,2024-08-08,2024-09-07,35000,USD,unpaid
PAY-2408-04,SUP-G,JPN,Fukuoka Office,2024-08-10,2024-09-09,5000000,JPY,unpaid
PAY-2408-05,SUP-L,DEU,Berlin Office,2024-08-12,2024-09-11,21000,EUR,unpaid
PAY-2408-06,SUP-H,DEU,Berlin Office,2024-08-15,2024-09-14,25000,CHF,unpaid
PAY-2408-07,SUP-I,CHN,Shanghai Office,2024-08-20,2024-09-19,180000,CNY,unpaid
PAY-2408-08,SUP-A,JPN,Tokyo HQ,2024-08-25,2024-09-24,3500000,JPY,unpaid
PAY-2408-09,SUP-B,JPN,Osaka Office,2024-08-30,2024-09-29,22000000,JPY,unpaid
